$ python3 optimize.py
Backing up original source...
Optimizing 6 parameters across 17 files. Initial value: [0.5, -0.5, -2.0, 16.0, 16.0, 2.0]

--- Generation 0 ---
Individual: 00 | Mean:  4939.98 (± 2126.64) | Genome: [0.5, -0.5, -2.0, 16.0, 16.0, 2.0]
Individual: 01 | Mean:  4710.31 (± 2061.00) | Genome: [0.4563835239617678, -0.5724057290084372, -2.240382491218503, 8.331847257821149, 11.577552398714285, 1.6428190078276543]
Individual: 02 | Mean:  5887.80 (± 2271.30) | Genome: [0.379787740412251, -0.4074045158470002, -1.4124701062199874, 11.17042805562765, 14.240254516566015, 1.994971004579307]
Individual: 03 | Mean:  4493.58 (± 2035.34) | Genome: [0.5898553716971866, -0.49868600660892226, -2.9391404034442234, 21.434829004831393, 17.40681350820742, 2.935265286537278]
Individual: 04 | Mean:  5573.44 (± 2008.25) | Genome: [0.4795625547593178, -0.4952967164944969, -1.195063412856938, 24.872408624058803, 19.00158750576609, 3.359186255299574]
Individual: 05 | Mean:  5210.89 (± 1905.68) | Genome: [0.5727401318222457, -0.48468662818266506, -1.4846350346145711, 16.205169538926434, 9.151614237168506, 1.9050892485135353]
Individual: 06 | Mean:  4965.68 (± 2021.20) | Genome: [0.5232553841956595, -0.5555414903373833, -1.8464279444287133, 18.318688336228615, 11.691416383330074, 1.6625570367241718]
Individual: 07 | Mean:  4847.02 (± 1851.31) | Genome: [0.3808330963681919, -0.8171260526214147, -1.536103357759834, 11.028842335422297, 16.02347326175402, 2.2750490273915753]
Individual: 08 | Mean:  4565.14 (± 1908.56) | Genome: [0.586645682723405, -0.4408245898076915, -2.4931206540483495, 19.16635137818186, 23.852337610513924, 1.8504417302794414]
Individual: 09 | Mean:  4519.14 (± 1922.83) | Genome: [0.5515830276721561, -0.5063410732758973, -2.457128852297101, 12.907001534094018, 13.446009973138002, 3.2503156044544945]

--- Generation 1 ---
Individual: 00 | Mean:  4463.40 (± 1810.18) | Genome: [0.5898553716971866, -0.49868600660892226, -2.9391404034442234, 21.434829004831393, 17.40681350820742, 2.935265286537278]
Individual: 01 | Mean:  4789.41 (± 2221.85) | Genome: [0.5515830276721561, -0.5063410732758973, -2.457128852297101, 12.907001534094018, 13.446009973138002, 3.2503156044544945]
Individual: 02 | Mean:  4171.69 (± 1709.89) | Genome: [0.7123537374346711, -0.38649841530524964, -3.2826492573083237, 13.047216404824, 24.312908616929352, 3.341262836657023]
Individual: 03 | Mean:  4153.77 (± 1774.46) | Genome: [0.6989265600215834, -0.4996477510036366, -3.270182113545422, 16.04837583805477, 11.678993476263267, 2.8935482172159452]
Individual: 04 | Mean:  4725.99 (± 2042.27) | Genome: [0.39097675384622055, -0.6963628394541785, -1.4558923204870642, 17.317732083460545, 26.76732361382458, 2.098812855866228]
Individual: 05 | Mean:  4240.44 (± 1853.33) | Genome: [0.28299889379030546, -0.5792256694946788, -3.427077480816483, 26.076051254837274, 26.490699763948914, 2.002997716553076]
Individual: 06 | Mean:  5050.93 (± 1762.30) | Genome: [0.4123365964606969, -0.7895452911103051, -1.7874495017927683, 8.374574115782826, 14.438007525981762, 2.258617115643089]
